clade_name	clade_taxid	ERR1995252	ERR1995225	ERR1995258	ERR1995217	ERR1995260	ERR1995241	ERR1995236	ERR1995231	ERR1995246	ERR1995267	ERR1995222	ERR1995255	ERR1995228	ERR1995226	ERR1995251	ERR1995263	ERR1995214	ERR1995235	ERR1995242	ERR1995248	ERR1995245	ERR1995232	ERR1995238	ERR1995219	ERR1995213	ERR1995264	ERR1995256	ERR1995221	ERR1995211	ERR1995266	ERR1995229	ERR1995254	ERR1995223	ERR1995247	ERR1995230	ERR1995237	ERR1995240	ERR1995259	ERR1995224	ERR1995253	ERR1995261	ERR1995216	ERR1995265	ERR1995212	ERR1995218	ERR1995220	ERR1995257	ERR1995239	ERR1995233	ERR1995244	ERR1995249	ERR1995243	ERR1995234	ERR1995250	ERR1995227	ERR1995215	ERR1995262
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	2|201174|1760|2037|2049|1654|544580	0	0	0	0	0	0	0	0	0	0	0	0	0.00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05867	0	0	0	0	0.00017	0	0	9e-05	0	0	0.06374	0	0	0	0	0.00045	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02	2|201174|1760|2037|2049|1654|1739406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00055	0	0	0	0	0	0	0	0	0	0	0.01879	0	0	0	0	0.00062	0	0.00128	0.00047	0	0	0.04865	0	0	0	0	0.02582	0	0	0	0	0.00117
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247	2|201174|1760|2037|2049|1654|1203556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00058	0.00027	0	0	0.00835	0	0	0	0	0.0042	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	2|201174|1760|2037|2049|1654|936548	0	0.01108	0	0.00119	0	0.00807	0	0.00369	0.0138	0	0	0	0.00433	0.00106	0	0	0.0022	0.00071	0.0156	0	0.00079	0	0	0	0.011	0.00179	0.00284	0.00195	0.00339	0	0.00676	0	0.00397	0	0.00234	0.14216	0.00197	0	0.00246	0.00436	0.00179	0.00078	0.00856	0.00924	0.03825	0.00396	0.45223	0.00413	0	0.00243	0	0.0059	0.00046	0	0.0005	0.00377	0.00014
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3	2|201174|1760|2037|2049|1654|1284680	0	0	0	0	0.00044	0	0	0	0	0	0	0	0	0	0	0.0003	0.00686	0.00137	0	0	0	0	0	0	0	0.00169	0	0	0	0.04124	0	0.00121	0.01425	0	0	0.23752	0	0	0	0.00167	0.00089	0	0.00219	0.0002	0.03218	0	0.55089	0	0	0	0	0.00132	0	0.00067	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_170	2|201174|1760|2037|2049|1654|712117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01714	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181	2|201174|1760|2037|2049|1654|712121	0	0	0	0	0	0.00025	0.00322	0	0	0	0	0	0.00116	0	0.00035	0.00049	0	0.00036	0	0	0	0	0	0	0	0	0	0.00056	0	0.0692	0	0	0.04744	0	0	0.14857	0	0	0	0.00141	0	0	0.00108	5e-05	0	0.00028	0.27353	0	0.00051	0	0.00027	0.03159	0	0	0	0	0.00241
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448	2|201174|1760|2037|2049|1654|712124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus	2|201174|1760|2037|2049|1654|1656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00646	0	0	0	0	0	0	0	0	0	0	0.02481	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.66998	2.4424	0	0.00105	0.05191	0.00589	0	0	0	0.44374	7.24998	0.05803	0.5033	2.51184	3.33935	2.33493	0.05496	4.15705	9.44029	0	0	0	0.00183	0.25925	0.08112	1.53092	0.23618	1.00886	0.96423	19.24114	0.19125	1.19288	0.05986	0.03443	0.0081	31.94169	0.00308	0	0.04756	1.01679	0.06436	4.24472	0.0081	0.00556	2.72016	2.89224	1.5711	1.61827	0	0.87064	1.74424	0.03473	5.67928	2.60428	8.44682	11.16938	0.51083
